code,title,description,credits,institution,department,prerequisites,
CHTC 271,Applied Instrumental Analysis I,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
CHTC 272,Applied Instrumental Analysis II,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
CHTC 273,Applied Instrumental Analysis III,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
CHTC 274,Applied Instrumental Analysis IV,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,��
CHTC 281,Applied Organic Chemistry Lab,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,��
MATH 020,Contemporary Math Corequisite,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,��
MATH 030,College Algebra Corequisite,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,��
MATH 113,Algebra for Technology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,��
MATH 114,Geometry and Trigonometry for Technology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,��
MATH 120,Contemporary Math,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,��
MATH 123,Math for Elementary Teachers,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,��
MATH 124,Geometry for Elementary Teachers,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,��
MATH 128,Applied Algebra,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,��
MATH 130,College Algebra,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,��
MATH 131,Trigonometry,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
MATH 133,Intensive College Algebra,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
MATH 140,Precalculus,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
MATH 151,Finite Math,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
MATH 171,Introduction to Data and Decision Science,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
MATH 203,Statistics I,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
MATH 205,Statistics II,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
MATH 207,Biostatistics,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
MATH 220,Applied Calculus,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
MATH 221,Calculus I,,4,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
MATH 222,Calculus II,,4,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
MATH 223,Calculus III,,4,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
MATH 265,Differential Equations,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
MATH 285,Linear Algebra,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
PHYS 101,Introduction to Concepts in Physics,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
PHYS 107,Introduction to Concepts in Physics Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
PHYS 141,Physics I (Algebra/Trigonometry Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
PHYS 142,Physics II (Algebra/Trigonometry Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
PHYS 143,Physics I Lab (Algebra/Trigonometry Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
PHYS 144,Physics II Lab (Algebra/Trigonometry Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
PHYS 221,Physics I (Calculus Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
PHYS 223,Physics I Lab (Calculus Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
PHYS 224,Physics II Lab (Calculus Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
PHYS 226,Physics III Lab (Calculus Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
PHYS 228,Physics II (Calculus Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
PHYS 229,Physics III (Calculus Based),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,,,,,,,,,
