code,title,description,credits,institution,department,prerequisites,has_lab,course_type
BIOS 3354,Vertebrate Physiology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 3373,Neurobiology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 3453,Genetics,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 3490,Spec Topics Phys & Cell Bio,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 3590,Spec Topics Organismic Biology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 3651,General Ecology Laboratory,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 3653,General Ecology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 3854,General Botany,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 3924,Marine Biology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 3953,General Parasitology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4010,Senior Comprehensive Exam,,0,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4091,Senior Honors Thesis,,3,University Of New Orleans,College of Sciences,,false,research
BIOS 4103,Biochemistry I,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4113,Biochemistry II,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4114,Biochemistry and Molecular Biology Laboratory,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4153,Molecular Biology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4173,Molecular Biotechnology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4213,Cell Biology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4314,Comparative Vertebrate Anatomy,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4353,Comparative Animal Physiology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4413,Developmental Biology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4453,Human Genomics,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4454,Genomics & Bioinformatics,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4490,Spec Topics Phys & Cell Bio,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4516,Environmental Writing,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4524,Evolutionary Mechanisms,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4534,Conservation Biology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4543,Habitats Org Biodiv,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4590,Spec Topics Organismic Biology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4644,Animal Behavior,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4713,Advanced Microbiology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4723,Virology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4844,Plant Taxonomy,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4914,Biology of Fishes,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4933,Marine Ecology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4933,Marine Ecology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 4974,Entomology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5103,Biochemistry I,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5113,Biochemistry II,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5114,Biochemistry and Molecular Biology Laboratory,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5153,Molecular Biology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5173,Molecular Biotechnology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5213,Cell Biology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5314,Comparative Vertebrate Anatomy,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5353,Comparative Animal Physiology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5413,Developmental Biology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5453,Human Genomics,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5454,Genomics & Bioinformatics,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5490,Spec Topics Phys & Cell Bio,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5516,Environmental Writing,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5524,Evolutionary Mechanisms,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5534,Conservation Biology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5543,Habitats Org Biodiv,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5590,Spec Topics Organismic Biology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5644,Animal Behavior,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5713,Advanced Microbiology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5723,Virology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5844,Plant Taxonomy,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5914,Biology of Fishes,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5934,Marine Invertebrate Zoology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 5974,Entomology,,3,University Of New Orleans,College of Sciences,,false,lecture
BIOS 6002,Internship Health Professions,,3,University Of New Orleans,College of Sciences,,false,research
