code,title,description,credits,institution,department,prerequisites,has_lab,course_type
BIOL 144,General Biology II Lab (Science Majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 161,Introductory Anatomy and Physiology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 163,Introductory Anatomy and Physiology Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 179,Independent Studies in Biology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 180,Biological Issues,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 184,Biological Issues,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 201,Botany I,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 203,Botany I Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 204,Plant Taxonomy,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 205,Plant Taxonomy Laboratory,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 207,Comparative Anatomy,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 209,Comparative Anatomy Lab,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 210,General Microbiology (Science Majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 211,Microbiology of Human Pathogens,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 212,General Microbiology Lab (Science Majors),,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 213,Introduction to Food and Water Microbiology,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
BIOL 231,Introduction to Biological Evolution,,3,Delgado Community College,"School of Science, Technology, Engineering, and Math",,false,lecture
