ccn,ccn_title,BPCC,BRCC,CLTCC,DCC,FTCC,LDCC,NCC,NTCC,RPCC,SLCC,STCC,LSU_AM,LSUA,LSUE,LSUS,GSU,LA_TECH,MCNEESE,NICHOLLS,NSU,SLU,ULL,ULM,UNO,SU_AM,SUNO,SUSLA
CACC 2113,Intro to Financial Accounting,ACCT 205,ACCT 2113,ACCT 2400,ACCT 205,ACCT 2100,ACCT 201,ACCT 2400,ACCT 2***,ACCT 2010,ACCT 2102 or 2103,ACCT 2030,ACCT 2001,ACCT 2001,ACCT 2001,ACCT 205,ACCT 201,ACCT 201,ACCT 208,ACCT 205,ACCT 2000,ACCT 200,ACCT 201,ACCT 2030,ACCT 2100,SACC 211B,ACCT 201N,ACCT 200S
CACC 2213,Intro to Managerial Accounting,ACCT 206,ACCT 2213,ACCT 2150,ACCT 211,ACCT 2110,ACCT 202,ACCT 2150,ACCT 2***,ACCT 2020,ACCT 2120,ACCT 2040,ACCT 2101,ACCT 2101,ACCT 2101,ACCT 206,ACCT 202,ACCT 202,ACCT 241,ACCT 206,ACCT 2010,ACCT 225,ACCT 202,ACCT 2020,ACCT 2130,SACC 221B,SACC 221N,ACCT 203S
CACC 2313,Principles of Accounting I,ACCT ***,ACCT 2313,ACCT 2110,ACCT 201,ACCT ***,ACCT 1100,ACCT 2110,ACCT 2***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT 2***,ACCT ***,ACCT ***,ACCT ***,***,ACCT ***,ACCT 202S
CACC 2323,Principles of Accounting II,ACCT ***,ACCT 2323,ACCT 2120,ACCT 202,ACCT ***,ACCT 1200,ACCT 2020,ACCT 2***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT 2***,ACCT ***,ACCT ***,ACCT ***,***,ACCT ***,ACCT 203S
CACC 2413,Computerized Accounting,ACCT 212,ACCT 2413,ACCT 2100,ACCT 221 or 222,ACCT 2500,ACCT 210 or 1500,ACCT 2100,ACCT 2***,ACCT 2413,ACCT 2115,ACCT 1210 or 1510,ACCT ***,ACCT ***,ACCT 2105,ACCT **,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT 1040,ACCT 2***,ACCT ***,ACCT ***,ACCT ***,***,ACCT ***,ACCT 220S
CACC 2513,Payroll,ACCT 218,ACCT 2513,ACCT ***,ACCT 218,ACCT 2250,ACCT1 250,ACCT ***,ACCT 2***,ACCT 1250,ACCT 2110,ACCT 1250,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT 2***,ACCT ***,ACCT ***,ACCT ***,***,ACCT ***,ACCT ***
CACC 2613,Tax Accounting/Indiv idual,ACCT 210,ACCT 2613,ACCT 2200,ACCT 214,ACCT 2700,ACCT 214,ACCT 2200,ACCT 2***,ACCT ***,ACCT ***,ACCT 1150,ACCT ***,ACCT ***,ACCT 2030,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT 2***,ACCT ***,ACCT ***,ACCT ***,***,ACCT ***,ACCT 261S
CACC 2713,Intermediate Accounting I (Lower Level),ACCT ***,ACCT ***,ACCT ***,ACCT 212,ACCT 2300,ACCT 1300,ACCT ***,ACCT 2***,ACCT 2210,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT 2***,ACCT ***,ACCT ***,ACCT ***,***,ACCT ***,ACCT 271S
CACC 3113,Cost Accounting (Upper Level),ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,,ACCT ***,ACCT ***,ACCT ***,ACCT 3121,ACCT 3121,ACCT ***,ACCT 330,ACCT 305,ACCT 308,ACCT 311,ACCT 306,ACCT 3080,ACCT 331,ACCT 305,ACCT 3020,ACCT 3131,ACCT 320B,SACC 311N,ACCT ***
CACC 3213,Tax I (Upper Level),ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,,ACCT ***,ACCT ***,ACCT ***,ACCT 3221,ACCT 3121,ACCT ***,ACCT 320,ACCT ***,ACCT 307,ACCT 317,ACCT 407,ACCT 3060,ACCT 341,ACCT 420,ACCT 3030,ACCT 3152,ACCT 310B,ACCT 421N,ACCT ***
CACC 3223,Tax II (Upper Level),ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,,ACCT ***,ACCT ***,ACCT ***,ACCT 4221,ACCT 3221,ACCT ***,ACCT 420,ACCT 304,ACCT 406,ACCT 319,ACCT 408,ACCT 4140,ACCT 442,ACCT 421,ACCT 4031,ACCT 4152,***,ACCT ***,ACCT ***
CACC 3313,Auditing (Upper Level),ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,ACCT ***,,ACCT ***,ACCT ***,ACCT ***,ACCT 3***,ACCT 4123,ACCT ***,ACCT 440,ACCT 400,ACCT 413,ACCT 415,ACCT 403,ACCT 4080,ACCT 407,ACCT 409,ACCT 4020,ACCT 3161,ACCT 430B,ACCT 462 N,ACCT ***
CARB 1013 (3 Hr),Elementary Arabic I (3-4 credit hours),ARAB ***,GHUM 3,CLAN 3,GHUM 3 or CLAN 3,GHUM 3,ARAB ***,GHUM 3,ARAB ***,GHUM 3,GHUM 3,GHUM 3,ARAB ***,CLAN 3,GHUM (3-4),ARAB ***,CLAN 3,ARAB ***,,GHUM 3,FORL ***,FLAN 1***,ARAB 101,ARAB 1001,GHUM 3,ARAB 100,ARAB ***,GHUM 3
CARB 1014 (4 Hr),,ARAB ***,GHUM 3,,GHUM 4,GHUM 3,ARAB ***,ARAB ***,ARAB ***,GHUM 4,GHUM 3,GHUM 3,ARAB 1101,,GHUM (3-4),ARAB ***,,ARAB ***,,,FORL ***,FLAN 1***,,,,,ARAB ***,
CARB 1023 (3 Hr),Elementary Arabic II (3-4 credit hours),ARAB ***,GHUM 3,CLAN 3,GHUM 3,GHUM 3,ARAB ***,GHUM 3,ARAB ***,GHUM 3,GHUM 3,GHUM 3,ARAB ***,CLAN 3,GHUM (3-4),ARAB ***,CLAN 3,ARAB ***,,GHUM 3,FORL ***,FLAN 1***,ARAB 102,ARAB 1002,GHUM 3,ARAB 101,ARAB ***,GHUM 3
CARB 1024 (4 Hr),,ARAB ***,GHUM 3,,GHUM 4,GHUM 3,ARAB ***,ARAB ***,ARAB ***,GHUM 4,GHUM 3,GHUM 3,ARAB 1102,,GHUM (3-4),ARAB ***,,ARAB ***,,,FORL ***,FLAN 1***,,,,,ARAB ***,ARAB ***
CART 1013,Exploring the Arts,GFAR 3,GFAR 3,FIAR 1100,GFAR or CART 3,GFAR 3,HUMN 250,GFAR 3,GFAR 3,ARTS 1100,GFAR 3,GFAR 3,GFAR 3,FIAR 1003,GFAR 3,GFAR 3,ARTR 210,GFAR 3,ARTS 151,GFAR 3,FA 1040,GFAR 3,GFAR 3,GHUM 3,ARTS 1000,GFAR 3,GFAR 3,SFIA 101S
CART 1023,Intro to Visual Arts,ART 206,ARTS 1023,FIAR 1200,FNAR 121,ARTS 1200,ARTS 120,FIAR 1200,GFAR 3,ARTS 1010,GFAR 3,ARTS 1200,ART 1001,FIAR 1001,GFAR 3,FA 140,ART 105,ART 290,ART 251,ART 110,GFAR 3,GFAR 3,VIAR 120,ART 1009,FA 1010,SFIA 101B,FIAR 101N,SFIA 101S
CART 1113,Art Structure/2- D Design,ART 101,ARTS 1113,GFAR 3,GFAR 3,ARTS 2510,ARTS 105,GFAR 3,GFAR 3,GFAR 3,GFAR 3,GFAR 3,ART 1008,FIAR 1551,ART 1011,DA 150,ART 103,ART 115,ART 101,ART 251,ART 2560,ART 151 or 154,VIAR 101,ART 1001,FA 1050,,FIAR 120N,GFAR 3
CART 1123,3-D Design,ART 250,ARTS 1123,FIAR 1010,FNAR 158,GFAR 3,ARTS 107,FIAR 1010,GFAR 3,GFAR 3,GFAR 3,GFAR 3,ART 1009,GFAR 3,GFAR 3,FA 180,ART 217,ART 118,ART 245,ART 240,ART 1020,ART 153,VIAR 102,ART 1002,,,FIAR 222N,GFAR 3
CART 2103,Art History I,ART 201,ARTS 2103,FIAR 2400,FNAR 125,ARTS 2800,ARTS 201,FIAR 2400,ARTS 1010,ARTS 2510,ARTS 1100,GFAR 3,ARTH 1440,FIAR 2440,ART 1440,FA 240,ART 215,ART 266,ART 261,ART 280,GFAR 3,ART 105,VIAR 121,ART 2001,FA 2201,GFAR 3,FIAR ***,SFIA 101S
CART 2113,Art History II,ART 202,ARTS 2113,FIAR 2410,FNAR 126,ARTS 2810,ARTS 202,FIAR 2410,ARTS 1020,ARTS 2520,ARTS 1200,GFAR 3,ARTH 1441,FIAR 2441,ART 1441,FA 241,ART 216,ART 267,ART 262,ART 282,GFAR 3,ART 106,VIAR 122,ART 2002,FA 2202,GFAR 3,FIAR ***,SFIA 101S
CART 2203,Beginning Drawing,ART 103,ARTS 2203,FIAR 1000,FNAR 103,ARTS 2010,ARTS 103,FIAR 1000,ARTS 1000,ARTS 2100,ARTS 1210,GFAR 3,ART 1010,FIAR 1847,ART 1847,FA 100,ART 101,ART 125,ART 217,ART 201,ART 1060,ART 111,VIAR 111,ART 1003,FA 1060,SFIA 220B,FIAR 110N,SFIA 220S
CART 2213,Figure Drawing,ART ***,ARTS 2213,FIAR 1150,FNAR 212,ARTS 2030,ARTS 104,FIAR 1150,GFAR 3,GFAR 3,GFAR 3,GFAR 3,ART 1848,FIAR 1848,ART 1848,FA 200,ART 102,ART 225,GFAR 3,ART ***,ART 2120,ART 112,VIAR 211,ART 1004,FA 1061,GFAR 3,FIAR 211N,SFIA 221S
CART 2303,Color Theory,ART 210,GFAR 3,GFAR 3,GFAR 3,ARTS 2520,ARTS 106,GFAR 3,GFAR 3,GFAR 3,GFAR 3,ARTS 2303,ART 2552,FIAR 2552,GFAR 3,GFAR 3,ART 104,ART 116,ART 102,ART 252,ART 1010,ART 151,GFAR 3,Art ***,,GFAR 3,FIAR ***,SFIA 111S
CAST 1103,Astronomy/The Solar System,PHSC 110,ASTR 1103,GNAT 3,SCIE 111,GNAT 3,PHYS 110,GNAT 3,GNAT 3,GNAT 3,PHYS 1060,PHSC 1500,ASTR 1101,GNAT 3,ASTR 1101,ASTR 105,PHYS 120,PHYS 220,GNAT 3,ASTR 101,SCI 1120,GNAT 3,PHYS 160,PHYS 2001,PHYS 1005,,GNAT 3,GNAT 3
CAST 1113,Astronomy/Stars & Galaxies,GNAT 3,GNAT 3,GNAT 3,SCIE 112,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,ASTR 1102,GNAT 3,ASTR 1102,ASTR 106,GNAT 3,PHYS 230,GNAT 3,ASTR 102,GNAT 3,GNAT 3,PHYS 170,PHYS 2001,PHYS 1006,,GNAT 3,GNAT 3
CATR 1013,Intro to Anthropology,GSOC 3,ANTH 1013,ANTH 1100,GSOC 3,GSOC 3,GSOC 3,ANTH 1100,GSOC 3,ANTH 1003,ANTH 1010,GSOC 3,GSOC 3,ANTH 1001,ANTH 1003,GSOC 3,GSOC 3,SOC 205,GSOC 3,GSOC 3,ANTH 1510,GSOC 3,ANTH 100,GSOC 3,ANTH 1010,,ANTH ***,GSOC 3
CATR 2013,Cultural Anthroplogy,ANTH 202,ANTH 2013,ANTH 1030,ANTH 160,GSOC 3,GSOC 3,GSOC 3,GSOC 3,GSOC 3,ANTH 2010,ANTH 2010,ANTH 1003,ANTH 1003,GSOC 3,GSOC 3,SOC 200,GSOC 3,ANTH 201,GSOC 3,ANTH 2010,ANTH 101,ANTH 201,GSOC 3,ANTH 2052,,ANTH ***,GSOC 3
CATR 2023,Biological Anthropology,ANTH 201,GSOC 3,GSOC 3,ANTH 165,GSOC 3,GSOC 3,GSOC 3,GSOC 3,ANTH 2010,ANTH 2020,GSOC 3,ANTH 1001,GSOC 3,GSOC 3,GSOC 3,GSOC 3,GSOC 3,ANTH 202,GSOC 3,GSOC 3,ANTH 110,ANTH 202,GSOC 3,ANTH 2051,,ANTH ***,GSOC 3
CBIO 1011,General Biology I Lab,BLGY 105L,BIOL1011,BIOL 1070,BIOL 107,BIOL 1011,BIOL 103,BIOL 1070,GNAT 1,BIOL 1010L,BIOL 1011,BIOL 1011,GNAT 1,BIOL 1003,BIOL 1003,BIOS 101L,BIOL 105,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BIOL 1***,BIOL 123,BIOL ***,GNAT 1,SBIO 101LB,SBIO 101LN,GNAT 1
CBIO 1013,General Biology I,BLGY 105,BIOL1013,BIOL 1060,BIOL 101,BIOL 1010,BIOL 101,BIOL 1060,BIOL 1010,BIOL 1010,BIOL 1000,BIOL 1010,BIOL 1001,BIOL 1001,BIOL 1001,BIOS 101,BIOL 103,BISC 101,BIOL 105,BIOL 105,SCI 1020,GBIO 106,BIOL 121,GNAT 3,BIOS 1053,SBIO10 1B,SBIO 101N,SBIO 101S
CBIO 1021,General Biology II Lab,BLGY 106L,BIOL1021,BIOL 1090,BIOL 108,BIOL 1021,BIOL 104,BIOL 1090,GNAT 1,BIOL 1020L,BIOL 1021,BIOL 1021,GNAT 1,BIOL 1004,GNAT 1,GNAT 1,BIOL 106,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BIOL ***,GNAT 1,SBIO 102LB,SBIO 102LN,GNAT 1
CBIO 1022,General Biology Lab (I + II),BLGY 105L & 106L,BIOL 1011 & 1021,BIOL 1070 & BIOL 1090,BIOL 107 & 108,BIOL 1011 & 1021,BIOL 103 & BIOL 104,BIOL 1070 & 1090,GNAT 2,BIOL 1010L & 1020L,BIOL 1011 & 1021,BIOL 1011 & 1021,BIOL 1005,BIOL 1003 & 1004,BIOL 1005,BIOS 101L & BIOL ***,BIOL 105 & 106,BISC ***,GNAT 2,GNAT 2,GNAT 4,GNAT 2,BIOL 123 & GNAT 1,GNAT 2,GNAT 3,SBIO 101LB & SBIO 102LB,SBIO 101LN & 102LN,GNAT 2
CBIO 1023,General Biology II,BLGY 106,BIOL 1023,BIOL 1080,BIOL 102,BIOL 1020,BIOL 102,BIOL 1080,BIOL 1020,BIOL 1020,BIOL 1002,BIOL 1020,BIOL 1002,BIOL 1002,BIOL 1002,BIOS 104/5/ 6/7/8/9,BIOL 104,BISC 102,BIOL 106,BIOL 106,SCI 2020,GBIO 107,BIOL 122,GNAT 3,BIOS 1063,SBIO 102B,SBIO 102N,GNAT 3
CBIO 1031,General Biology I Lab (Science Majors),BLGY 101L,BIOL1031,BIOL 1110,BIOL 143,BIOL 1031,BIOL 203,BIOL 1110,BIOL 1015,BIOL 1203,BIOL 1011,BIOL 1031,BIOL 1207/1208,GBIO 1,BIOL 1207 / 1208,BIOS 120L,BIOL 115,BISC 131,BIOL 101L,BIOL ***,BIOL 1011,BIOL 152,BIOL 112,BIOL 1021,BIOS 1081,,SBIO 103LN,SBIO 103LS
CBIO 1033,General Biology I (Science Majors),BLGY 101,BIOL1033,BIOL 1100,BIOL 141,BIOL 1030,BIOL 201,BIOL 1100,BIOL 1100,BIOL 1201,BIOL 1010,BIOL 1033,BIOL 1201,GBIO 3,BIOL 1201,BIOS 120,BIOL 113,BISC 130,BIOL 101,BIOL ***,BIOL 1010,GBIO 151,BIOL 110,BIOL 1020,BIOS 1083,GNAT 3,SBIO 103N,SBIO 103S
CBIO 1034,General Biology I Lec + Lab (Science Majors),BLGY 101 & 101L,BIOL 1033 & 1031,BIOL 1100 & 1110,BIOL 141 & 143,GNAT 3,BIOL 201 & 203,BIOL 1100 & 1110,BIOL 1100 & 1015,BIOL 1201 & 1203,BIOL 1010 & 1011,BIOL 1033 & 1031,BIOL 1201 & 1207 or 1208,BIOL 1201,BIOL 1201 & 1207/12 08,BIOS 120 & 120L,BIOL 113 & 115,BISC 130 & 131,BIOL 101 & 101L,BIOL 155,BIOL 1010 & 1011,GBIO 151 & 152,BIOL 110 & 112,BIOL 1020 & 1021,BIOS 1083 & 1081,SBIO 103B,SBIO 103N & 103LN,GNAT 4
CBIO 1041,General Biology II Lab (Science Majors),BLGY 102L,BIOL 1041,BIOL 1210,BIOL 144,BIOL10 40,BIOL 204,BIOL 1210,BIOL 1025,BIOL 1204,BIOL 1021,BIOL 1041,BIOL 1209,GBIO 1,BIOL 1209,BIOL 110L,BIOL 116,BISC 133,BIOL 102L,BIOL ***,BIOL 1021,BIOL 154,BIOL 113,BIOL 1023,BIOS 1071,,SBIO 104LN,GNAT 4
CBIO 1043,General Biology II (Science Majors),BLGY 102,BIOL 1043,BIOL1200,BIOL 142,BIOL 1200,BIOL 202,BIOL 1200,BIOL 1200,BIOL 1202,BIOL 1020,BIOL 1043,BIOL 1202,GBIO 3,BIOL 1202,BIOS 110,BIOL 114,BISC 132,BIOL 102,BIOL ***,BIOL 1020,GBIO 153,BIOL 111,BIOL 1022,BIOS 1073,GNAT 3,SBIO 104N,SBIO 104S
CBIO 1044,General Biology II Lec + Lab (Sci Majors),BLGY 102 & 102L,BIOL 1043 & 1041,BIOL1200 & 1210,BIOL 142 & 144,GNAT 3,BIOL 202 & 204,BIOL 1200 & 1210,BIOL 1200 & 1025,BIOL 1202 & 1204,BIOL 1020 & 1021,BIOL 1043 & 1041,BIOL 1202 & 1209 or BIOL 1503,BIOL 1202,BIOL 1202 + 1209 or BIOL 1503,BIOL 110 & 110L,BIOL 114 & 116,BISC 132 & 133,BIOL 102 & 102L,BIOL 156,BIOL 1020 & 1021,GBIO 153 & 154,BIOL 111 & 113,BIOL 1022 & 1023,BIOS 1073 & 1071,BIOL 109,SBIO 104N & 104LN,GNAT 3
CBIO 2101,General Microbiology Lab,BLGY ***,BIOL 2101,GNAT 1,GNAT or CBIO 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BIOL 2110L,GNAT 1,GNAT 1,BIOL 1012,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BISC ***,BIOL ***,BIOL ***,GNAT 1,MICL 2***,BIOL 264,GNAT 1,BIOS 2741,GNAT 1,GNAT 1,GNAT 1
CBIO 2103,General Microbiology,BLGY ***,BIOL 2103,GNAT 3,BIOL 211,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOL 2110,GNAT 3,GNAT 3,BIOL 1011,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BISC ***,GNAT 3,BIOL 205,GNAT 3,MIC 2***,BIOL 261,GNAT 3,BIOS 2743,GNAT 3,GNAT 3,GNAT 3
CBIO 2104,General Microbiology Lec + Lab,BLGY ***,BIOL 2103 & BIOL 2101,GNAT 4,GNAT 4,GNAT 3,GNAT 3,GNAT 4,GNAT 4,BIOL 2110 & 2110L,GNAT 4,GNAT 4,BIOL 1011 & 1012,GNAT 4,GNAT 4,GNAT 4,GNAT 4,BISC 214,BIOL ***,BIOL 205 & BIOL ***,GNAT 4,GBIO 2*** & BIOL 2***,BIOL 261 & 264,GNAT 4,BIOS 2741 & 2743,GNAT 4,GNAT 4,GNAT 4
CBIO 2113,Microbiology for Nursing & Allied Health,BLGY 202,BIOL ***,GNAT 3,GNAT 3,BIOL 2030,GNAT 3,GNAT 3,BIOL 2230,GNAT 3,GNAT 3,BIOL 2113,BIOL 1011,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BISC ***,GNAT 3,BIOL 205,BIOL 2210,MIC 223,BIOL 261,BIOL 2016,BIOS ***,SBIO 211B,SBIO 220N,GNAT 3
CBIO 2121,General Microbiology Lab (Science Majors),BLGY 206L,BIOL 2121,BIOL 2010,BIOL 212,BIOL 2121,BIOL 211,BIOL 2010,GNAT 1,BIOL 2110L,BIOL 2101,BIOL 2101,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BISC ***,BIOL ***,BIOL 204,BIOL 2061,MICL 207,BIOL 264,BIOL 2015,BIOS 2741,,SBIO 212LN,SBIO 212LS
CBIO 2123,General Microbiology (Science Majors),BLGY 206,BIOL 2123,BIOL 2000,BIOL 210,BIOL 2123,BIOL 210,BIOL 2000,GNAT 3,BIOL 2110,BIOL 2100,BIOL 2103,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BISC ***,GNAT 3,BIOL 203,BIOL 2060,MIC 205,BIOL 261,BIOL 2014,BIOS 2743,,SBIO 212N,SBIO 2312S
CBIO 2124,General Microbiology (Sci Majors) Lec + Lab,BLGY 206 & 206L,BIOL 2123 & BIOL 2121,BIOL 2010 & 2000,BIOL 210 & 212,GNAT 3,BIOL 210 & 211,BIOL 2000 & 2010,GNAT 4,BIOL 2110 & 2110L,BIOL 2100 & 2101,BIOL 2104,BIOL 2051,BIOL 2051,BIOL 2051,GNAT 4,GNAT 4,BISC 260,BIOL 211,BIOL 203 & 204,BIOL 2060 & 2061,MIC 205 & 207,BIOL 261 & 264,BIOL 2014 and 2015,BIOS 2743 & 2741,SBIO 212B,SBIO 212N & 212LN,GNAT 4
CBIO 2131,Cell Biology Lab,BLGY ***,BIOL***,GNAT 1,BIOL 266,CBIO 1,GNAT 1***,GNAT 1,GNAT 1,GNAT 3,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BISC ***,BIOL ***,BIOL ***,GNAT 1,BIOL 2***,BIOL 231,BIOL ***,BIOS ***,,GNAT 1,BIOL 260LS
CBIO 2133,Cell Biology,BLGY ***,BIOL***,GNAT 3,BIOL 265,GNAT 3,BIOL 227,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BISC ***,GNAT 3,BIOL ***,GNAT 1,GBIO 200,BIOL 230,BIOL 2020,BIOS ***,,GNAT 3,BIOL 260S
CBIO 2134,Cell Biology Lec + Lab,BLGY ***,BIOL***,GNAT 4,BIOL 265 & 266,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 3,GNAT 4,GNAT 4,GNAT 4,GNAT 4,BIOL 2151,GNAT 4,GNAT 4,BISC ***,BIOL ***,BIOL ***,GNAT 4,GBIO 200 & BIOL 2***,BIOL 230 & 231,BIOL 2020 & BIOL ***,BIOS 2114,,GNAT 4,BIOL 260S & 260LS
CBIO 2211,Human Anatomy and Physiology I Lab,BLGY 230L,BIOL 2211,BIOL 2310,BIOL 253,BIOL 1150,BIOL 223,BIOL 2310,BIOL 2215,BIOL 2500L,BIOL 2023,BIOL 2251,GNAT 1,GNAT 1,GNAT 1,BIOS 284L,GNAT 1,BISC 226,BIOL ***,BIOL 115,BIOL 2251,ZOOL 252,GNAT 1,BIOL 1016,BIOS 1301,,SBIO 221NL,SBIO 221LS
CBIO 2213,Human Anatomy and Physiology I,BLGY 230,BIOL 2213,BIOL 2300,BIOL 251,BIOL 1140,BIOL 221,BIOL 2300,BIOL 2200,BIOL 2500,BIOL 2022,BIOL 2253,BIOL 2160 part 1 of 2 and KIN 2500 part 1 of 2,GNAT 3,GNAT 3,BIOS 284,BIOL 303,BISC 225,GNAT 3,BIOL 114,BIOL 2250,ZOOL 250,GNAT 3,BIOL 1014,BIOS 1303,,SBIO 221N,GNAT 3
CBIO 2214,Human Anatomy and Physiology I (Lec + Lab),BLGY 230 & 230L,BIOL 2213 & BIOL 2211,BIOL 2300 & 2310,BIOL 251 & 253,BIOL 1140 & 1150,BIOL 221 & 223,BIOL 2300 & 2310,BIOL 2200 & BIOL 2215,BIOL 2500 & 2500L,BIOL 2022 & 2023,BIOL 2253 & BIOL 2251,GNAT 4,BIOL 1161,GNAT 4,BIOS 284 & 284L,GNAT 4,BISC 225 & 226,BIOL 225,BIOL 114 & 115,BIOL22 50 & 2251,ZOO 250 & 252,GNAT 4,BIOL 1014 & 1016,BIOS 1303 & 1301,,SBIO 221N & 221LN,GNAT 4
CBIO 2221,Human Anatomy and Physiology II Lab,BLGY 231L,BIOL 2221,BIOL 2410,BIOL 254,BIOL 1170,BIOL 224,BIOL 2410,BIOL 2315,BIOL 2510L,BIOL 2033,BIOL 2261,GNAT 1,GNAT 1,GNAT 1,BIOS 285L,GNAT 1,BISC 228,BIOL ***,BIOL 117,BIOL 2261,ZOOL 253,GNAT 1,BIOL 1017,BIOS 1311,,SBIO 222LN,BIOL 222LS
CBIO 2223,Human Anatomy and Physiology II,BLGY 231,BIOL 2223,BIOL 2400,BIOL 252,BIOL 1160,BIOL 222,BIOL 2400,BIOL 2300,BIOL 2510,BIOL 2032,BIOL 2263,BIOL 2160 part 2 of 2 and KIN 2500 part 2 of 2,GNAT 3,GNAT 3,BIOS 285,GNAT 3,BISC 227,GNAT 3,BIOL 116,BIOL 2260,ZOOL 251,GNAT 3,BIOL 1015,BIOS 1313,,SBIO 222N,BIOL 222S
CBIO 2224,Human Anatomy and Physiology II (Lec + Lab),BLGY 231 & 231L,BIOL 2223 & BIOL 2221,BIOL 2410 & 2400,BIOL 252 & 254,BIOL 1160 & 1170,BIOL 222 & 224,BIOL 2400 & 2410,BIOL 2300 & BIOL 2315,BIOL 2510 & 2510L,BIOL 2032 & 2033,BIOL 2263 & BIOL 2261,GNAT 4,BIOL 1162,GNAT 4,BIOS 285 & 285L,GNAT 4,BISC 227 & 228,BIOL 226,BIOL 116 & 117,BIOL 2260 & 2261,ZOO 251 & 253,GNAT 4,BIOL 1015 & 1017,BIOS 1313 & 1311,,SBIO 222N & 222LN,GNAT 4
CBIO 2231,Comparative Anatomy Lab,BLGY ***,BIOL***,GNAT 1,BIOL 209,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,CBIO 1,CBIO 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BISC ***,BIOL ***,BIOL ***,BIOL 2081,GNAT 1,GNAT 1,BIOL ***,BIOS ***,,SBIO 233LN,GNAT 1
CBIO 2233,Comparative Anatomy,BLGY ***,BIOL***,GNAT 3,BIOL 207,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BISC ***,GNAT 3,BIOL ***,BIOL 2080,GNAT 3,GNAT 3,BIOL ***,BIOS ***,SBIO 233B,SBIO 233N,GNAT 3
CBIO 2234,Comparative Anatomy Lec + Lab,BLGY ***,BIOL ***,GNAT 4,BIOL 207 & 209,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,GNAT 4,BIOL 2152,GNAT 4,GNAT 4,BISC ***,BIOL 250,BIOL ***,BIOL 2080 & 2081,GNAT 4,GNAT 4,BIOL ***,BIOS ***,,SBIO 233N & 233LN,GNAT 4
CBIO 2311,Botany I Lab,BLGY ***,BIOL***,BIOL 2230,BIOL 203,GNAT 1,GNAT 1,BIOL 2230,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,BIOS 224L,GNAT 1,BISC 217,BIOL ***,BIOL ***,BIOL 2101,BOT 2***,GNAT 1,BIOL 2005,BIOS ***,,SBIO 231LN,GNAT 1
CBIO 2313,Botany I,BLGY ***,GNAT 3,BIOL 2220,BIOL 201,GNAT 3,GNAT 3,BIOL 2220,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GNAT 3,BIOS 224,GNAT 3,BISC 216,GNAT 3,BIOL ***,BIOL 2100,BOT 2***,GNAT 3,BIOL 2004,BIOS ***,,SBIO 231N,GNAT 3
