ccn,ccn_title,BPCC,BRCC,CLTCC,DCC,FTCC,LDCC,NCC,NTCC,RPCC,SLCC,STCC,LSU_AM,LSUA,LSUE,LSUS,GSU,LA_TECH,MCNEESE,NICHOLLS,NSU,SLU,ULL,ULM,UNO,SU_AM,SUNO,SUSLA
CFRN 2014 (4 Hr),(3-4 credit hours),,FREN 2013,,GHUM 4,GHUM 3,GHUM 4,FREN ***,,GHUM 4,,GHUM 4,CFRN 4,,GHUM 3,,,,FREN 201 & FREN ***,,,,,,,,,
CFRN 2023 (3 Hr),Intermediate French II,FREN ***,FREN 2023,CLAN 3,FREN 202,GHUM 3,FREN 202,GHUM 3,FREN 2***,FREN 2020,FREN ***,GHUM 3,FREN 2102,FREN 2102,FREN 2102,FREN 205,FREN 202,FREN 202,FREN 202,FREN 202,FREN 2020,FREN 202,FREN 202,FRNH 2002,FREN 2002,FREN 201,FREN ***,FREN 201S
CFRN 2026,Intermediate French I+II (6 cr hrs),FREN ***,FREN 2013 & FREN 2023,CLAN 6,FREN 201 & 202,GHUM 6,GHUM 6,GHUM 6,,FREN 2010 & 2020,FREN ***,CFRN 6,FREN 2101 & 2102,FREN 2101 & 2102,FREN 2101 & 2102,FREN 201 & 205,Fren 210 & 206,FREN 201 & 202,FREN 201 & 202,FREN 201 & 202,FREN 2010 & 2020,FREN 201 & 202,,FRNH 2005,FREN 2001 & 2002,FREN 200 & 201,FREN ***,FREN 200S & 201S
CGEO 1101,Physical Geology Lab,PHSC ***,GEOL ***,GEOL 1030,GEOL 103,GEOL 1011,GNAT 1,GEOL 1030,GNAT 1,GEOL 1001L 1,GEOL 1011,GNAT 1,GEOL 1601,GEOL 1002,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GEOL ***,GEOL ***,GEOL 1031,ESSL 103,GEOL 111,GEOS ***,EES 1001,GEOL ****,GNAT 1,GNAT 1
CGEO 1103,Physical Geology,PHSC 111,GEOL 1103,GEOL 1010,GEOL 101,GEOL 1010,GEOL 101,GEOL 1010,GNAT 3,GEOL 1001 3,GEOL 1010,GNAT 3,GEOL 1001,GEOL 1001,GEOL 1001,GEOL 105,GNAT 3,GEOL 111,GEOL 101,GEOL 101,GEOL 1030,ESSC 101,GEOL 111,GNAT 3,EES 1000,GEOL ****,GNAT 3,GNAT 3
CGEO 1111,Historical Geology Lab,PHSC ***,GEOL ***,GNAT 1,GEOL 104,GEOL 1021,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GEOL 1021,GNAT 1,GEOL 1602,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GNAT 1,GEOL ***,GEOL ***,GEOL 1041,GNAT 1,GEOL 112,GNAT 1,EES 2005,GEOL ****,GNAT 1,GNAT 1
CGEO 1113,Historical Geology,PHSC ***,GNAT 3,GNAT 3,GEOL 102,GEOL 1020,GEOL 102,GNAT 3,GNAT 3,GNAT 3,GEOL 1020,GNAT 3,GEOL 1003,GEOL 1003,GNAT 3,GNAT 3,GNAT 3,GNAT 3,GEOL 102,GEOL 102,GEOL 1040,GNAT 3,GEOL 112,GEOS ***,EES 2004,GEOL ****,GNAT 3,GNAT 3
CGRG 2013,Human Geography,GPHY 102,GEOG ***,GSOC 3,GSOC 3,GSOC 3,GSOC 3,GSOC 3,GSOC 3,GEOG 2010,GEOG 2020,GEOG 2110,GEOG 2010,GEOG 1003,GEOG 1001,GEOG 252,GEOG 201,GEOG 205,GEOG 211,GEOG 104,GEOG 2020,GEOG 410,GEOG 201,GSOC 3,GEOG 1356,,GSOC 3,GSOC 3
CGRG 2113,World Regional Geography,GPHY 105,GEOG 2113,GEOG 1200,ANTH 181,GEOG 2010,GEOG 202,GEOG 1200,GSOC 3,GEOG 2030,GEOG 1010,GSOC 3,GSOC 3,GEOG 1001,GEOG 1001,GEOG 105 or 106,GSOC 3,GEOG 210,GEOG ****,GEOG 104,GEOG 1010,GEOG 141 or 142,GEOG 103,GSOC 3,GEOG 1001 & 1002,GEOG 210B,GSOC 3,GSOC 3
CGRG 2213,Physical Geography,GPHY 101,GSOC 3,GSOC 3,ANTH 205,GEOG 2020,GEOG 205,GSOC 3,GSOC 3,GEOG 2050,GEOG 2050,GEOG 2010,GSOC 3,GEOG 2001,GSOC 3,GEOG 251,GSOC 3,GEOG 203,GEOG 201,GEOG 103,GEOG 2010,GEOG 309,GEOG 104,GEOG 2013,GEOG 2151,GEOG 221B,GSOC 3,GSOC 3
CGRG 2313,Introduction to Geographic Information Systems,,GISC 2033,CSTL 1123,SCIE 161,CGRG 3,GSOC 3,CSTL 1123 3,,GEOG 2023,,,GEOG 2040,GSOC 3,GSOC 3,GEOG 257,GSOC 3,,,GEOG 2***,GSOC 3,GEOG 343,GEOG 380,GSOC 3,GEOG 2***,UFOR 375B,,GSOC 3
CGRM 1013 (3 Hr),Elementary German I (3-4 credit hours ),GERM ***,GHUM 3,CLAN 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,GERM 1***,GHUM 3,GERM ***,GHUM 3,GERM ***,CLAN 3,GHUM,GERM 101,CLAN 3,GERM ***,GERM 101,GHUM 3,FORL,GERM 101,,GRMN 1001,GER 1001,GERM 100,GHUM 3,GHUM 3
CGRM 1014 (4 Hr),,GERM ***,GHUM 3,CLAN 3,GHUM 4,GHUM 3,GHUM 3,GHUM 3,GERM 1***,GHUM 4,GERM ***,GHUM 4,GERM 1101,CLAN 4,GHUM,,,GERM ***,GERM 101 & GERM ***,,,,GERM 101,,,,GHUM 3,
CGRM 1023 (3 Hr),Elementary German II (3-4 credit hours),GERM ***,GHUM 3,CLAN 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,GERM 1***,GHUM 3,GERM ***,GHUM 3,GERM ***,CLAN 3,GHUM,GERM 102,CLAN 3,GERM ***,GERM 102,GHUM 3,FORL,GERM 102,GERM 102,GRMN 1002,GER 1002,GERM 101,GHUM 3,GHUM 3
CGRM 1024 (4 Hr),,GERM ***,GHUM 3,CLAN 3,GHUM 4,GHUM 3,GHUM 3,GHUM 3,GERM 1***,GHUM 4,GERM ***,GHUM 4,GERM 1102,CLAN 4,GHUM,,,GERM ***,GERM 102 & GERM ***,,,,,,,,GHUM 3,
CGRM 2013,Intermediate German I,GERM ***,GHUM 3,CLAN 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,GERM 2***,GHUM 3,GERM ***,GHUM 3,GERM 2101,CLAN 3,GHUM,GERM 201,CLAN 3,GERM ***,GERM ***,GHUM 3,FORL,GERM 201,GERM 201,GRMN 2001,GER 2001,GERM 200,GHUM 3,GHUM 3
CGRM 2023,Intermediate German II,GERM ***,GHUM 3,CLAN 3,GHUM 3,GHUM 3,GHUM 3,GHUM 3,GERM 2***,GHUM 3,GERM ***,GHUM 3,GERM 2102,CLAN 3,GHUM,GERM 205,CLAN 3,GERM ***,GERM ***,GHUM 3,FORL,GERM 202,GERM 202,GRMN 2002,GER 2002,GERM ***,GHUM 3,GHUM 3
CHIS 1013,Western Civilization I,HIST 101,GHUM 3,HIST 1010,HIST 101,HIST 1010,HIST 101,HIST 1010,HIST 1010,HIST10 10,HIST10 20,HIST 1010,HIST 1001,HIST 1001,HIST 1001,HIST 105,HIST 101,HIST 101,HIST 101,HIST 101,HIST 1010,HIST 101,GHUM or GSOC 3,GHUM or GSOC 3,GHUM 3,GHUM 3,GHUM 3,SHIS 101S
CHIS 1023,Western Civilization II,HIST 102,GHUM 3,HIST 1020,HIST 102,HIST 1020,HIST 102,HIST 1020,HIST 1020,HIST 1020,HIST 1021,HIST 1020,HIST 1003,HIST 1003,HIST 1003,HIST 106 or 107,HIST 102,HIST 102,HIST 102,HIST 102,HIST 1020,HIST 102,GHUM or GSOC 3,GHUM or GSOC 3,GHUM 3,GHUM 3,GHUM 3,SHIS 102S
CHIS 1113,World Civilization I,HIST 103,HIST 1113,HIST 1500,HIST 103,HIST 1500,GHUM or GSOC 3,HIST 1500,GHUM or GSOC 3,HIST 1003,HIST 1040,HIST 1210,HIST 1005,GHUM or GSOC 3,GSOC 3,GHUM or GSOC 3,HIST 103,HIST 101,HIST 121,HIST 150,HIST 1010,HIST 107,HIST 101,HIST 1011,HIST 1001,SHIS 111B,SHIS 111N,GHUM 3
