code,title,description,credits,institution,department,prerequisites,has_lab,course_type
FREN 2002,INTERMEDIATE FRENCH II,,3,University of New Orleans,FREN,,false,lecture
FREN 225,PERSPECTIVES ON CONTEMPORARY FRENCH CULTURE,,3,Delgado Community College,FREN,,false,lecture
HIST 101,EARLY WESTERN CIVILIZATION,,3,Delgado Community College,HIST,,false,lecture
HIST 102,MODERN WESTERN CIVILIZATION,,3,Delgado Community College,HIST,,false,lecture
HIST 103,WORLD HISTORY I,,3,Delgado Community College,HIST,,false,lecture
HIST 1001,WORLD HISTORY TO 1600,,3,University of New Orleans,HIST,,false,lecture
HIST 105,WORLD HISTORY II,,3,Delgado Community College,HIST,,false,lecture
HIST 141,AFRICAN-AMERICAN HISTORY,,3,Delgado Community College,HIST,,false,lecture
HIST 1010,INTRODUCTION TO AFRICAN-AMERICAN HISTORY,,3,University of New Orleans,HIST,,false,lecture
HIST 205,AMERICAN HISTORY TO 1865,,3,Delgado Community College,HIST,,false,lecture
HIST 2501,U.S. HISTORY I,,3,University of New Orleans,HIST,,false,lecture
HIST 206,AMERICAN HISTORY AFTER 1865,,3,Delgado Community College,HIST,,false,lecture
HIST 2502,U.S. HISTORY II,,3,University of New Orleans,HIST,,false,lecture
HIST 240,SPECIAL TOPICS IN HISTORY,,3,Delgado Community College,HIST,,false,lecture
HIST 241,SPECIAL TOPICS IN HISTORY,,3,Delgado Community College,HIST,,false,lecture
HIST 260,LOUISIANA HISTORY,,3,Delgado Community College,HIST,,false,lecture
HIST 2601,HISTORY OF LOUISIANA,,3,University of New Orleans,HIST,,false,lecture
HUMA 105,HUMANITIES THROUGH THE ARTS,,3,Delgado Community College,HUMANITIES,,false,lecture
HUMA 150,STRUCTURE OF WESTERN THOUGHT: ANCIENT GREECE,,3,Delgado Community College,HUMANITIES,,false,lecture
HUMS 1119,Not sure just some humanities class,,3,University Of New Orleans,HUMANITIES,,false,lecture
HUMA 220,MODERNISM IN THE ARTS,,3,Delgado Community College,HUMANITIES,,false,lecture
HUMA 260,ACTIVISM AND CHANGE,,3,Delgado Community College,HUMANITIES,,false,lecture
PHIL 101,INTRODUCTION TO PHILOSOPHY,,3,Delgado Community College,PHIL,,false,lecture
PHIL 1000,INTRODUCTION TO PHILOSOPHY,,3,University of New Orleans,PHIL,,false,lecture
PHIL 175,SOCIAL ETHICS,,3,Delgado Community College,PHIL,,false,lecture
PHIL 1200,SOCIAL ETHICS,,3,University of New Orleans,PHIL,,false,lecture
SPAN 101,ELEMENTARY SPANISH I,,3,Delgado Community College,SPAN,,false,lecture
SPAN 1001,BASIC SPANISH I,,3,University of New Orleans,SPAN,,false,lecture
SPAN 102,ELEMENTARY SPANISH II,,3,Delgado Community College,SPAN,,false,lecture
